City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
pascagoula,90,US,1554514205,88,30.37,-88.56,69.8,6.93
qasigiannguit,0,GL,1554511800,46,68.82,-51.19,30.2,23.04
ketchikan,90,US,1554512160,81,55.34,-131.65,51.8,9.17
kirensk,24,RU,1554514452,56,57.78,108.12,32.21,3.4
inhambane,88,MZ,1554514452,100,-23.87,35.38,72.53,3.62
guarapari,0,BR,1554512659,78,-20.67,-40.5,81.0,10.29
nenjiang,12,CN,1554514453,35,49.17,125.23,46.16,9.44
saint anthony,40,US,1554514349,75,43.97,-111.68,48.2,13.87
thompson,5,CA,1554512400,32,55.74,-97.86,23.0,4.7
alofi,76,NU,1554512400,88,-19.06,-169.92,80.6,3.36
east stroudsburg,90,US,1554514314,100,41.0,-75.18,39.0,3.74
adrar,0,DZ,1554512400,48,27.87,-0.29,62.6,11.41
isangel,75,VU,1554512400,66,-19.55,169.27,84.2,17.22
dawson creek,90,CA,1554512400,88,55.76,-120.23,32.0,10.29
christchurch,68,NZ,1554514386,71,-43.53,172.64,57.0,10.29
chuy,44,UY,1554514318,82,-33.69,-53.46,64.79,12.68
atambua,92,ID,1554514455,100,-9.11,124.89,79.55,17.49
nelson bay,0,AU,1554514323,69,-32.72,152.14,81.0,8.05
arraial do cabo,0,BR,1554514455,84,-22.97,-42.02,80.36,17.27
butaritari,92,KI,1554514387,100,3.07,172.79,80.81,12.68
tilichiki,0,RU,1554514455,90,60.47,166.1,35.45,3.85
port elizabeth,90,US,1554514433,93,39.31,-74.98,52.0,9.17
codrington,40,AU,1554514393,54,-28.95,153.24,78.8,3.51
auki,8,NG,1554514456,46,12.18,6.51,69.56,6.98
itoman,20,JP,1554512400,64,26.12,127.67,77.0,4.7
provideniya,0,RU,1554514457,100,64.42,-173.23,25.28,2.28
dunedin,0,NZ,1554513973,48,-45.87,170.5,55.0,10.0
pevek,20,RU,1554514457,86,69.7,170.27,8.63,10.89
camalu,88,MX,1554514457,93,30.85,-116.07,56.06,5.75
manta,88,RO,1554514457,65,45.1,24.1,44.99,11.45
te anau,0,NZ,1554514458,49,-45.41,167.72,53.54,3.4
secunda,92,ZA,1554514315,99,-26.52,29.2,52.0,1.99
saskylakh,0,RU,1554514458,86,71.97,114.09,15.11,12.68
wagar,76,US,1554514346,95,31.44,-87.99,69.01,0.72
manavgat,0,TR,1554511800,87,36.79,31.44,52.0,4.7
kruisfontein,24,ZA,1554514459,85,-34.0,24.73,58.85,8.32
road town,40,VG,1554514095,74,18.42,-64.62,78.8,9.17
trairi,24,BR,1554514375,100,-3.28,-39.27,79.46,2.73
baker city,92,US,1554513463,78,44.77,-117.83,51.01,10.0
crotone,12,IT,1554514459,97,39.09,17.12,58.58,6.2
pericos,20,MX,1554514395,47,25.08,-107.7,78.8,6.93
katsuura,20,JP,1554514443,37,33.93,134.5,68.0,16.11
aklavik,5,CA,1554512400,53,68.22,-135.01,21.2,8.05
colares,40,PT,1554514425,87,38.8,-9.45,52.0,5.82
cidreira,92,BR,1554514460,92,-30.17,-50.22,68.03,8.21
cartagena,0,ES,1554514355,70,37.63,-1.0,51.01,5.82
dingle,24,PH,1554514461,63,11.0,122.67,87.38,9.66
gweta,32,BW,1554514461,75,-20.21,25.26,66.05,8.99
abu samrah,32,SY,1554514461,95,35.3,37.18,49.76,3.51
ahuimanu,40,US,1554514386,74,21.44,-157.84,84.0,6.93
altay,44,CN,1554514462,90,47.83,88.13,36.89,1.39
broken hill,0,AU,1554512400,56,-31.97,141.45,69.8,12.75
pangnirtung,88,CA,1554514462,77,66.15,-65.72,14.03,4.97
batemans bay,0,AU,1554514265,53,-35.71,150.18,73.99,1.99
bati,64,ET,1554514463,86,11.19,40.02,66.68,3.4
gurupi,36,BR,1554514324,95,-11.73,-49.07,70.1,2.84
rundu,56,NA,1554514463,91,-17.91,19.77,63.71,3.06
kajaani,90,FI,1554511800,85,64.22,27.73,32.0,6.93
hobart,40,AU,1554514299,42,-42.88,147.33,64.99,23.04
mocuba,32,MZ,1554514464,95,-16.84,36.99,71.45,3.18
tabou,80,CI,1554514464,100,4.42,-7.36,82.7,10.45
darlawn,32,IN,1554514464,75,24.02,92.93,76.31,1.72
berlevag,0,NO,1554514464,100,70.86,29.09,22.49,8.43
nuqui,90,CO,1554512400,94,5.71,-77.27,78.8,2.51
mandalgovi,64,MN,1554514465,75,45.76,106.27,33.02,10.33
iskateley,76,RU,1554514465,91,67.68,53.15,23.48,19.95
mabaruma,36,GY,1554514465,87,8.2,-59.78,76.49,6.64
samarai,92,PG,1554514466,100,-10.62,150.67,78.29,4.07
juba,0,EE,1554514217,64,57.82,26.93,36.0,2.24
namibe,0,AO,1554514466,100,-15.19,12.15,77.12,3.74
mount gambier,90,AU,1554512400,59,-37.83,140.78,60.8,10.29
ciudad bolivar,0,VE,1554514466,39,8.12,-63.55,83.78,16.15
illapel,0,CL,1554514313,95,-31.63,-71.17,57.23,1.95
goderich,0,CA,1554514416,90,43.74,-81.71,37.99,2.62
khatanga,8,RU,1554514467,85,71.98,102.47,17.9,18.39
loma bonita,0,MX,1554508792,56,18.11,-95.88,93.0,8.01
narsaq,75,GL,1554511800,47,60.91,-46.05,37.4,29.97
puerto ayora,75,EC,1554514229,78,-0.74,-90.35,80.6,5.82
tucuman,0,PE,1554514468,86,-17.17,-70.89,52.82,2.62
ulladulla,40,AU,1554514247,57,-35.36,150.48,81.0,8.05
faya,0,SA,1554512400,72,18.39,42.45,62.6,16.11
jacqueville,0,CI,1554512400,83,5.21,-4.42,82.4,5.82
that phanom,40,TH,1554512400,78,16.94,104.73,78.8,2.24
gizo,20,IL,1554514455,82,31.8,34.94,57.2,4.7
pangkalanbuun,36,ID,1554514244,90,-2.68,111.62,85.85,3.85
richards bay,92,ZA,1554514469,100,-28.77,32.06,65.87,23.31
zheleznodorozhnyy,0,RU,1554514445,80,55.75,38.0,39.99,5.75
pudozh,0,RU,1554514470,68,61.81,36.54,16.1,3.4
fort saint james,92,CA,1554514470,94,54.43,-124.25,41.3,6.53
balkanabat,20,TM,1554514471,75,39.51,54.36,56.78,6.87
muros,75,ES,1554514436,100,42.77,-9.06,52.0,4.7
college,1,US,1554514234,32,64.86,-147.8,44.6,14.99
ilulissat,0,GL,1554511800,46,69.22,-51.1,30.2,23.04
naze,68,NG,1554514471,93,5.43,7.07,76.4,7.2
bondo,12,CD,1554514472,78,3.81,23.69,74.15,2.17
la macarena,88,CO,1554514472,48,2.18,-73.79,82.79,3.18
umm lajj,0,SA,1554514472,100,25.02,37.27,59.21,2.95
afonso claudio,0,BR,1554514472,91,-20.07,-41.12,70.1,4.74
burns lake,64,CA,1554514472,93,54.23,-125.76,39.05,1.05
kupang,75,ID,1554512400,74,-10.16,123.6,80.6,9.17
honiara,68,SB,1554514473,89,-9.43,159.96,82.16,2.17
saint-pierre,8,FR,1554514324,86,48.95,4.24,39.2,10.29
teahupoo,40,PF,1554512400,62,-17.83,-149.27,89.6,11.41
itarema,80,BR,1554514474,100,-2.92,-39.92,73.97,3.4
tuatapere,0,NZ,1554513607,50,-46.13,167.69,57.0,4.0
port blair,0,IN,1554514475,100,11.67,92.75,83.6,5.75
buchanan,75,LR,1554512400,94,5.88,-10.05,75.2,4.63
ukhta,0,RU,1554514475,78,63.56,53.68,18.98,2.51
zhanaozen,12,KZ,1554514476,66,43.35,52.85,47.6,14.03
cherskiy,0,RU,1554514476,71,68.75,161.3,19.61,2.73
santa cruz del norte,40,CU,1554512100,78,23.15,-81.92,80.01,1.12
abrau-dyurso,0,RU,1554512400,75,44.7,37.6,44.6,17.9
rocky mountain house,0,CA,1554514275,61,52.38,-114.92,42.56,3.74
chapais,90,CA,1554513360,47,49.78,-74.86,33.8,21.92
posse,12,BR,1554514477,93,-14.08,-46.36,69.83,2.95
souillac,0,FR,1554514406,81,45.6,-0.6,50.0,5.82
melfort,1,CA,1554512400,75,52.87,-104.61,32.0,3.36
kununurra,90,AU,1554512400,66,-15.77,128.74,86.0,9.17
tena,8,EC,1554514478,89,-0.99,-77.82,57.95,2.39
ostrovnoy,0,RU,1554514478,84,68.05,39.51,20.78,18.5
formosa,75,AR,1554512400,82,-26.19,-58.17,64.4,5.82
tateyama,20,JP,1554514201,35,36.66,137.31,59.0,2.24
nigran,75,ES,1554514408,93,42.14,-8.81,57.0,6.93
marawi,48,PH,1554514312,80,8.0,124.29,81.0,5.01
vaini,56,IN,1554514407,81,15.34,74.49,73.88,2.28
hudson bay,8,CA,1554514479,72,52.86,-102.4,27.62,4.52
catanzaro,68,IT,1554514190,99,38.91,16.6,55.99,3.0
kiama,40,AU,1554514330,57,-34.67,150.86,81.0,8.05
mehran,90,IR,1554512400,81,33.12,46.17,50.0,4.7
nantucket,90,US,1554514324,74,41.28,-70.1,39.2,8.05
abha,0,SA,1554512400,72,18.22,42.5,62.6,16.11
velyka lepetykha,0,UA,1554514481,94,47.18,33.94,34.91,6.64
batticaloa,0,LK,1554514481,96,7.71,81.69,82.88,4.41
puqi,68,CN,1554514481,77,29.72,113.88,72.71,10.11
nchelenge,24,ZM,1554514481,99,-9.35,28.74,64.61,2.73
tiksi,56,RU,1554514481,86,71.64,128.87,21.14,4.18
tual,48,ID,1554514482,100,-5.67,132.75,83.51,2.51
alta floresta,92,BR,1554514482,93,-9.87,-56.08,76.31,2.06
broome,48,GB,1554514446,93,52.47,1.45,45.0,4.7
manbij,0,SY,1554511800,93,36.53,37.96,42.8,5.53
vila franca do campo,40,PT,1554514444,82,37.72,-25.43,59.0,9.17
ibra,64,OM,1554514483,40,22.69,58.55,70.01,0.16
namatanai,32,PG,1554514483,100,-3.66,152.44,82.88,3.85
coos bay,1,US,1554514270,66,43.37,-124.22,60.01,23.04
caucaia,0,BR,1554513491,88,-3.73,-38.66,78.8,2.24
udachnyy,88,RU,1554514484,68,66.42,112.4,26.18,3.29
tsabong,0,BW,1554514484,95,-26.02,22.4,58.22,9.55
awbari,32,LY,1554514484,67,26.59,12.77,67.4,6.42
bambous virieux,75,MU,1554514441,83,-20.34,57.76,78.8,12.75
avera,1,US,1554514318,88,33.19,-82.53,66.2,3.36
kaduqli,0,SD,1554514247,26,11.01,29.72,64.52,7.09
bethel,1,US,1554512160,51,60.79,-161.76,35.6,18.34
cabo san lucas,20,MX,1554514345,60,22.89,-109.91,78.8,14.99
sidney,90,US,1554514325,70,47.72,-104.16,46.4,16.11
lompoc,1,US,1554514383,77,34.64,-120.46,63.0,11.41
kimbe,36,PG,1554514486,96,-5.56,150.15,83.69,3.96
ancud,90,CL,1554512400,87,-41.87,-73.83,50.0,2.24
adwa,0,ET,1554514486,82,14.16,38.9,48.68,2.73
sterling,90,US,1554514479,100,39.0,-77.4,48.2,5.82
nome,90,US,1554514443,83,30.04,-94.42,73.99,4.7
noyabrsk,64,RU,1554514487,85,63.2,75.45,21.68,17.27
san cristobal,75,EC,1554514324,93,-0.39,-78.55,57.2,8.05
colac,76,AU,1554514344,69,-38.34,143.59,64.99,1.99
kaeo,100,NZ,1554514385,78,-35.1,173.78,66.0,5.99
hobyo,24,SO,1554514488,82,5.35,48.53,80.09,9.33
kainantu,48,PG,1554514488,74,-6.29,145.87,76.76,0.38
lavras da mangabeira,75,BR,1554512400,83,-6.75,-38.96,77.0,8.05
coquimbo,20,CL,1554512400,93,-29.95,-71.34,57.2,5.82
visby,8,SE,1554514374,60,57.64,18.3,44.01,12.75
clarence town,0,AU,1554514333,69,-32.59,151.78,82.0,8.05
porto novo,0,BR,1554512400,78,-23.68,-45.44,77.0,1.12
kaitangata,0,NZ,1554514375,53,-46.28,169.85,54.0,11.01
cubuk,0,TR,1554514382,74,40.24,33.03,46.0,1.12
luderitz,8,NA,1554514490,81,-26.65,15.16,57.86,14.81
salalah,20,OM,1554511800,78,17.01,54.1,78.8,1.12
lavrentiya,0,RU,1554514491,91,65.58,-170.99,23.03,5.3
huanren,0,CN,1554514491,36,41.26,125.37,50.93,5.75
vanimo,0,PG,1554514491,100,-2.67,141.3,81.98,4.97
tahe,88,CN,1554514491,70,52.34,124.71,32.75,5.19
jimma,92,ET,1554514491,97,7.67,36.84,56.78,2.39
luhyny,48,UA,1554514492,51,51.08,28.4,41.12,9.1
tshikapa,0,CD,1554514492,96,-6.42,20.79,73.79,2.17
sitka,88,US,1554514330,55,37.17,-99.65,66.99,8.01
nishihara,20,JP,1554514436,25,35.74,139.53,66.99,8.05
dubbo,12,AU,1554512400,34,-32.25,148.6,80.6,14.99
kosh-agach,0,RU,1554514493,54,49.99,88.66,35.63,7.09
la ronge,40,CA,1554512400,50,55.1,-105.3,30.2,5.82
klaksvik,48,FO,1554511800,80,62.23,-6.59,41.0,5.82
marbella,20,ES,1554514249,58,36.51,-4.89,55.4,8.05
lai,0,CN,1554514494,34,27.82,91.75,50.03,1.39
carnarvon,0,ZA,1554514494,91,-30.97,22.13,47.24,10.67
emba,0,CY,1554514262,87,34.81,32.42,55.4,5.82
cordoba,92,CO,1554514494,99,5.59,-73.79,53.9,0.49
bueu,75,ES,1554514481,93,42.33,-8.79,57.0,6.93
baza,20,ES,1554514365,85,37.49,-2.77,39.0,8.01
anamur,0,TR,1554511800,93,36.08,32.84,50.0,4.7
cukai,75,MY,1554512400,88,4.25,103.42,80.6,3.36
zaraza,0,VE,1554514495,74,9.35,-65.33,76.31,14.47
khandbari,0,NP,1554514495,68,27.38,87.21,40.13,0.83
lagoa,20,PT,1554514343,87,37.14,-8.45,52.0,4.7
grand gaube,75,MU,1554514441,83,-20.01,57.66,78.8,12.75
qaqortoq,75,GL,1554511800,47,60.72,-46.03,37.4,29.97
kutum,0,SD,1554514497,30,14.2,24.66,55.07,6.2
khovu-aksy,56,RU,1554514497,77,51.13,93.72,39.95,3.29
zalari,0,RU,1554514497,71,53.57,102.52,35.18,4.41
kathu,8,ZA,1554514286,88,-27.7,23.05,55.0,5.41
husavik,0,CA,1554514231,90,50.56,-96.99,30.0,5.99
crixas,68,BR,1554514498,84,-14.55,-49.97,75.23,4.63
norman wells,5,CA,1554512400,41,65.28,-126.83,24.8,17.22
cleveland,90,US,1554514459,76,41.51,-81.69,51.8,4.29
vostok,88,RU,1554514498,70,46.45,135.83,33.11,3.62
nador,0,MA,1554512400,54,35.17,-2.93,55.4,10.29
cercal,92,PT,1554514313,85,37.8,-8.67,51.01,8.01
kui buri,0,TH,1554512400,70,12.07,99.86,86.0,3.36
plastun,76,RU,1554514499,48,44.76,136.29,40.22,7.09
diamantino,92,BR,1554514499,98,-14.4,-56.44,71.09,5.08
san quintin,0,PH,1554514500,78,17.54,120.52,83.96,3.51
balabac,0,PH,1554514500,99,7.99,117.06,83.33,5.75
pitimbu,20,BR,1554512400,88,-7.47,-34.81,78.8,2.24
biak,8,ID,1554514500,78,-0.91,122.88,86.66,2.06
champerico,75,MX,1554511620,42,16.38,-93.6,86.0,23.04
nuuk,68,GL,1554511800,37,64.17,-51.74,37.4,26.4
topolobampo,5,MX,1554514095,36,25.6,-109.05,78.8,16.11
north myrtle beach,90,US,1554514402,100,33.83,-78.68,64.4,3.36
sur,80,OM,1554514501,76,22.57,59.53,82.34,6.76
usakos,0,NA,1554514501,87,-22.0,15.59,56.96,2.95
plettenberg bay,0,ZA,1554514501,100,-34.05,23.37,61.1,11.79
arman,88,RU,1554514502,68,59.7,150.17,36.35,8.88
banjar,24,ID,1554514502,80,-7.37,108.54,81.98,3.74
lucea,75,JM,1554512400,74,18.44,-78.17,78.8,3.36
riachao das neves,92,BR,1554514233,97,-11.75,-44.91,68.84,2.95
hamada,0,JP,1554512400,63,34.9,132.08,60.8,4.7
memari,48,IN,1554512400,83,23.17,88.11,73.4,3.36
tucurui,44,BR,1554514503,95,-3.77,-49.67,75.05,2.95
turukhansk,80,RU,1554514503,97,65.8,87.96,28.16,12.46
saldanha,92,PT,1554514504,97,41.42,-6.55,40.76,12.91
thohoyandou,76,ZA,1554514504,96,-22.97,30.46,65.6,3.74
slantsy,12,RU,1554514504,82,59.12,28.09,30.59,4.74
oistins,75,BB,1554512400,83,13.07,-59.53,75.2,27.51
filadelfia,88,PY,1554514505,85,-22.35,-60.04,61.91,13.8
matara,0,PE,1554514505,76,-13.74,-72.9,34.1,1.5
alyangula,88,AU,1554512400,94,-13.85,136.42,80.6,5.82
eskil,0,TR,1554514505,90,38.4,33.41,37.79,4.18
laguna,5,MX,1554511260,18,27.52,-110.01,80.6,4.7
praia da vitoria,20,PT,1554514248,82,38.73,-27.07,59.0,22.64
portland,40,US,1554514333,58,45.52,-122.67,55.4,14.99
gamba,0,CN,1554514506,98,28.28,88.52,19.43,0.94
warrington,0,GB,1554514505,75,53.39,-2.59,46.0,9.17
mehamn,0,NO,1554514507,70,71.03,27.85,18.17,7.43
riachao,88,BR,1554514385,95,-7.36,-46.62,72.62,4.18
belmonte,92,PT,1554514408,87,40.36,-7.35,44.01,8.01
kavieng,48,PG,1554514508,100,-2.57,150.8,84.41,4.41
grafton,40,AU,1554514427,57,-29.69,152.93,77.0,4.7
abhar,64,IR,1554514508,94,36.14,49.22,39.95,2.95
namtsy,0,RU,1554512400,43,62.72,129.66,35.6,3.4
srednekolymsk,0,RU,1554514509,67,67.46,153.71,23.84,3.4
sharjah,0,AE,1554512400,26,25.36,55.39,84.2,2.24
lorengau,0,PG,1554514466,99,-2.02,147.27,83.6,1.83
radyvyliv,44,UA,1554514509,58,50.13,25.25,43.91,13.02
sussex,90,CA,1554513974,74,45.72,-65.51,33.8,9.17
buala,68,SB,1554514510,87,-8.15,159.59,86.48,3.96
fuerte olimpo,92,BR,1554514510,96,-21.04,-57.87,62.45,17.27
nagornskiy,0,RU,1554514355,46,58.77,57.55,19.0,4.29
pisco,0,PE,1554512400,78,-13.71,-76.2,71.6,9.17
atar,0,MR,1554514511,52,20.52,-13.05,56.15,6.98
newark,90,US,1554514275,86,40.74,-74.17,41.0,3.29
padang,20,ID,1554512400,79,-0.92,100.36,84.2,4.7
nouadhibou,0,MR,1554512400,77,20.93,-17.03,64.4,17.22
boueni,20,YT,1554512400,94,-12.9,45.08,80.6,3.36
deputatskiy,48,RU,1554514512,87,69.3,139.9,18.71,3.74
ambagarh chauki,8,IN,1554514512,43,20.78,80.75,83.42,10.45
natchez,1,US,1554514206,82,31.56,-91.4,68.0,4.7
mackenzie,90,CA,1554512580,67,55.34,-123.09,44.6,4.7
houston,75,US,1554514350,88,29.76,-95.37,75.99,9.17
mezen,8,RU,1554514513,89,65.85,44.24,20.96,2.95
salas,0,ES,1554514447,65,43.41,-6.26,46.4,5.82
tarsus,20,TR,1554511800,87,36.92,34.88,51.8,1.12
oyama,20,JP,1554514436,23,36.31,139.8,75.99,2.24
neka,90,IR,1554512400,82,36.65,53.3,57.2,2.24
buzdyak,80,RU,1554514514,89,54.57,54.53,29.78,2.95
kuvshinovo,0,RU,1554514514,71,57.03,34.18,22.22,4.85
mangai,0,CD,1554514514,94,-4.07,19.59,74.69,1.95
hambantota,0,LK,1554513000,100,6.12,81.12,77.0,4.7
ngaoundere,8,CM,1554514515,86,7.32,13.58,61.1,2.73
talara,8,PE,1554514514,77,-4.58,-81.27,71.9,5.08
ola,0,RU,1554514515,82,59.58,151.3,36.08,21.07
mont-de-marsan,92,FR,1554514347,93,43.89,-0.5,48.0,9.17
desaguadero,0,PE,1554514516,83,-16.56,-69.04,27.26,2.84
harper,1,US,1554514322,64,30.3,-99.24,75.99,4.7
gat,8,SN,1554512400,68,14.69,-16.54,75.2,21.92
airai,92,TL,1554514516,73,-8.93,125.41,76.85,2.95
piacenza,0,IT,1554514510,58,45.05,9.69,53.6,5.82
nurobod,75,UZ,1554512400,87,40.91,69.8,51.8,4.7
mirnyy,36,RU,1554514517,77,56.57,36.46,27.26,4.29
rudraprayag,88,IN,1554514517,95,30.29,78.98,54.98,2.06
ozinki,92,RU,1554514518,97,51.2,49.73,39.5,9.78
mangrol,0,IN,1554514518,53,25.33,76.51,78.02,4.63
baruun-urt,0,MN,1554514518,30,46.68,113.28,30.86,11.01
greenwood,90,US,1554514507,93,34.2,-82.16,61.0,3.4
thaba-tseka,92,LS,1554514519,100,-29.52,28.61,40.22,2.51
ariquemes,56,BR,1554514519,91,-9.91,-63.03,77.39,1.95
lima,0,PE,1554514337,88,-12.06,-77.04,72.0,9.17
pitsunda,20,GE,1554514073,57,43.16,40.34,52.0,5.41
maniitsoq,80,GL,1554514519,68,65.42,-52.9,30.86,12.8
cockburn town,88,TC,1554514520,99,21.46,-71.14,78.11,20.07
